,Lines
123,"Among other public buildings in a certain town, which for many reasons"
124,"it will be prudent to refrain from mentioning, and to which I will"
125,"assign no fictitious name, there is one anciently common to most towns,"
126,"great or small: to wit, a workhouse; and in this workhouse was born; on"
127,"a day and date which I need not trouble myself to repeat, inasmuch as"
128,"it can be of no possible consequence to the reader, in this stage of"
129,the business at all events; the item of mortality whose name is
130,prefixed to the head of this chapter.
132,For a long time after it was ushered into this world of sorrow and
133,"trouble, by the parish surgeon, it remained a matter of considerable"
134,doubt whether the child would survive to bear any name at all; in which
135,case it is somewhat more than probable that these memoirs would never
136,"have appeared; or, if they had, that being comprised within a couple of"
137,"pages, they would have possessed the inestimable merit of being the"
138,"most concise and faithful specimen of biography, extant in the"
139,literature of any age or country.
141,Although I am not disposed to maintain that the being born in a
142,"workhouse, is in itself the most fortunate and enviable circumstance"
143,"that can possibly befall a human being, I do mean to say that in this"
144,"particular instance, it was the best thing for Oliver Twist that could"
145,"by possibility have occurred.  The fact is, that there was considerable"
146,difficulty in inducing Oliver to take upon himself the office of
147,"respiration,--a troublesome practice, but one which custom has rendered"
148,necessary to our easy existence; and for some time he lay gasping on a
149,"little flock mattress, rather unequally poised between this world and"
150,"the next: the balance being decidedly in favour of the latter.  Now,"
151,"if, during this brief period, Oliver had been surrounded by careful"
152,"grandmothers, anxious aunts, experienced nurses, and doctors of"
153,"profound wisdom, he would most inevitably and indubitably have been"
154,"killed in no time.  There being nobody by, however, but a pauper old"
155,"woman, who was rendered rather misty by an unwonted allowance of beer;"
156,and a parish surgeon who did such matters by contract; Oliver and
157,"Nature fought out the point between them.  The result was, that, after"
158,"a few struggles, Oliver breathed, sneezed, and proceeded to advertise"
159,to the inmates of the workhouse the fact of a new burden having been
160,"imposed  upon the parish, by setting up as loud a cry as could"
161,reasonably have been expected from a male infant who had not been
162,"possessed of that very useful appendage, a voice, for a much longer"
163,space of time than three minutes and a quarter.
165,As Oliver gave this first proof of the free and proper action of his
166,"lungs, the patchwork coverlet which was carelessly flung over the iron"
167,"bedstead, rustled; the pale face of a young woman was raised feebly"
168,"from the pillow; and a faint voice imperfectly articulated the words,"
169,"'Let me see the child, and die.'"
